sqldate,AvgTone,NormalizedTone,7d,14d,28d
1979-01-01,6.7524115755627,6.401011455313389,,,
1979-01-02,4.36717109296918,2.6181387208298688,,,
1979-01-03,5.72412993900063,4.770207938977281,,,
1979-01-04,6.403729242910612,5.848018623432766,,,
1979-01-05,4.830543495102551,3.353024296827021,,,
1979-01-06,3.103079938186324,0.6133530406327927,,,
1979-01-07,5.704766831342897,4.739499013588902,4.049036155657432,,
1979-01-08,4.811135001993166,3.322243392370346,3.6092121466655684,,
1979-01-09,5.882203040852948,5.020904014033909,3.952464331409002,,
1979-01-10,3.5926145878658624,1.3897306396093607,3.469539002927871,,
1979-01-11,5.1222375215509395,3.815636510360949,3.1791987010604688,,
1979-01-12,4.462721328326602,2.7696766402743926,3.09586332155295,,
1979-01-14,4.9880095923261205,3.602757692742255,3.522921128997159,,
1979-01-15,4.49483678363432,2.820610154578576,3.2487941491385413,3.6489151523979864,
1979-01-16,3.661832759185621,1.499507215567696,2.988403266738163,3.2988077067018655,
1979-01-17,5.099209753379109,3.7791156157220547,2.8110049241221833,3.381734627765593,
1979-01-18,5.570892447135245,4.5271809007778,3.259212104289103,3.364375553608487,
1979-01-19,6.85890485768761,6.5699045024907345,3.652678960307644,3.4159388306840563,
1979-01-20,5.509073844399162,4.429139672448519,3.8897451077610907,3.4928042146570206,
1979-01-21,4.348386618562872,2.5883474789899843,3.744829362939338,3.6338752459682486,
1979-01-22,3.7312244573005664,1.6095589963898616,3.5718220546266646,3.4103081018826025,
1979-01-23,2.1907476325709037,-0.8335606055537172,3.2385266516093196,3.113464959173741,
1979-01-24,4.147557056710235,2.269841785599873,3.0229161044490076,2.916960514285596,
1979-01-25,6.600555367565077,6.160175064606297,3.2562009849959357,3.2577065446425197,
1979-01-26,4.489680388300494,2.8124323681210273,2.719419251514549,3.1860491059110965,
1979-01-27,4.608932341242328,3.0015600324423493,2.5154793029422393,3.2026122053516652,
1979-01-28,4.806513301705959,3.314913605654492,2.6192744638943117,3.182051913416825,
1979-01-29,4.647251364647072,3.062332097107389,2.82681347828253,3.1993177664545973,3.4241164594262914
1979-01-30,4.843252244349871,3.373179740845311,3.427776384910963,3.333151518260141,3.315979612481003
1979-01-31,5.446967392856786,4.330641930233562,3.722176405572918,3.372546255010963,3.377140441388278
1979-02-01,2.6231401020511824,-0.14780766142523705,2.8210360161398422,3.038618500567889,3.201497027088188
1979-02-02,6.4905286597091765,5.985678180015228,3.274356846410442,2.9968880489624956,3.206413439823276
1979-02-03,2.2816815954070866,-0.6893438646582646,2.747084861110354,2.6312820820262965,3.0620431483416586
1979-02-04,4.628879892037789,3.033195855569846,2.7068394682411188,2.6630569660677152,3.148466106017982
1979-02-05,4.594296816989765,2.978348819126996,2.6948418571010633,2.7608276676917964,3.0855678847871997
1979-02-06,6.990932580782997,6.7792939026531975,3.1814295945021898,3.3046029897065763,3.209033974440158
1979-02-07,8.439445695001496,9.076563635120994,3.8594184094861084,3.790797407529513,3.3538789609075548
1979-02-08,5.7246152454321315,4.770977610832591,4.5621020198086555,3.691569017974249,3.474637781308384
1979-02-09,4.512024094714561,2.847868374845672,4.113843476213004,3.6941001613117233,3.44007463361141
1979-02-10,7.1272953863166615,6.995558527882975,5.211686675147468,3.979385768128911,3.5909989867402876
1979-02-11,5.685046485990626,4.708223526990339,5.450976342493251,4.078907905367186,3.630479909392005
1979-02-12,5.096576214553121,3.77493895416833,5.564774933213442,4.129808395157252,3.6645630808059253
1979-02-13,5.6410574479270785,4.6384591011720175,5.258941390144703,4.220185492323446,3.7766685052917937
1979-02-14,6.167045588638709,5.4726501232848985,4.744096602739546,4.3017575061128275,3.8371518805618954
1979-02-15,5.440118042078167,4.319779200668793,4.679639687001861,4.620870853405258,3.8297446769865737
1979-02-16,3.824905652543632,1.7581327112018332,4.5239631636241695,4.318903319918587,3.657895684440541
1979-02-17,8.779387000881286,9.615693633425876,4.898268178701727,5.054977426924597,3.8431297544754464
1979-02-18,4.9976652347844,3.618071061291842,4.742532112173371,5.096754227333312,3.8799055967005134
1979-02-19,3.969147994798685,1.986893889647616,4.487097102956126,5.025936018084784,3.89338184288829
1979-02-20,2.6844088658306733,-0.050638450325424245,3.8172260241707763,4.53808370715774,3.9213433484321576
1979-02-21,4.688701756879155,3.1280703569401664,3.4822860575501005,4.113191330144823,3.951994368837169
1979-02-22,5.5012500339417905,4.41673149831474,3.4961363857852357,4.087888036393548,3.889728527183898
1979-02-23,4.937636813221731,3.5228689712381818,3.7482415657904284,4.136102364707299,3.915101263009511
1979-02-24,4.927839239473862,3.5073305067246965,2.875618261975974,3.8869432203388503,3.9331644942338806
1979-02-25,5.597949607264875,4.570092210590738,3.0116212833043883,3.877076697738879,3.9779923015530323
1979-02-26,5.368661550662834,4.206452760400177,3.328701121983325,3.907899112469725,4.018853753813489
1979-02-27,4.878363500557774,3.4288644463295666,3.8257729643626095,3.821499494266693,4.02084249329507
1979-02-28,4.912582066882612,3.483133390072546,3.876496254810092,3.6793911561800963,3.9905743311464614
1979-03-01,5.8107569027151555,4.9075939935483746,3.946619468414897,3.721377927100067,4.171124390252662
1979-03-02,5.308367368289679,4.110829186923267,4.030613784941338,3.889427675365883,4.104165497642235
1979-03-03,5.28523489932886,4.074142242042128,4.111586889986685,3.49360257598133,4.274290001452963
1979-03-04,4.845916014158249,3.377404347233048,3.9412029095070156,3.476412096405702,4.2865831618695065
1979-03-06,4.595120028131028,2.979654391040492,3.7659459995984887,3.547323560790907,4.286629789437845
