sqldate,AvgTone,NormalizedTone,7d,14d,28d
1979-01-28,7.8206289278587535,8.095151029914746,4.178558810723653,4.456696473508481,4.523400828460688
1979-01-29,7.303309376110185,7.274707958616098,5.005374067844535,4.826900595474995,4.4313442300722565
1979-01-30,3.680007121339353,1.5283308497294086,4.645943933523114,4.384654058768349,4.150686106425954
1979-01-31,4.2673447980897405,2.459819183726701,4.5967885079075765,4.159869491969725,4.110640059709253
1979-02-01,3.609669804676801,1.4167793649373213,4.220860657702405,4.177508613556623,3.8166619472107923
1979-02-02,4.573445446981368,2.9452795836947576,3.847036748604695,4.223577650840166,3.707928758191635
1979-02-03,3.3558204876951354,1.014186977760882,3.533464992625702,3.9652502689628224,3.6398265971377177
1979-02-04,3.5373325733827303,1.302056115039755,2.5630228619292743,3.370790836326464,3.5653753195757028
1979-02-05,5.496918219997651,4.4098614569165155,2.1537590759721916,3.579566571908363,3.6452110039095276
1979-02-06,6.238075124497209,5.585299433282346,2.733326016479754,3.6896349750014332,3.7389272768069133
1979-02-07,6.232221692706581,5.576016181683392,3.1784970161878525,3.8876427620477148,3.854181473929853
1979-02-08,5.920171996499839,5.081120888651626,3.701974376718468,3.961417517210436,3.9495731618291368
1979-02-09,3.829468397363301,1.7653689974793347,3.5334157215448356,3.690226235074765,3.7417393556427228
1979-02-10,6.697668479787534,6.31419162900224,4.290559243150744,3.9120121178882235,3.92681059661451
1979-02-11,5.587246740188625,4.5531179958987575,4.754996654702031,3.6590097583156522,4.057853115912066
1979-02-12,6.279005929765928,5.650213654041812,4.93218982571993,3.5429744508460606,4.184937523160528
1979-02-13,5.985605833692857,5.184895698963817,4.874989292245854,3.804157654362804,4.094405856565577
1979-02-14,3.719514692089058,1.5909878913507356,4.305699536484046,3.742098276335949,3.9509838841528375
1979-02-15,2.481126840939296,-0.37303362807959894,3.5265346055224427,3.6142544911204553,3.8958815523385395
1979-02-16,4.841215561065207,3.369949662485264,3.7557604148090036,3.6445880681769194,3.9340828595085426
1979-02-17,1.33333333333333,-2.193377025915407,2.540393464106483,3.4154763536286135,3.690363311295718
1979-02-18,4.361574892203296,2.609263424838356,2.262699953954997,3.5088483043285135,3.439819570327489
1979-02-19,6.090999691412427,5.352045113733054,2.220104448196603,3.5761471369582662,3.577856854433315
1979-02-20,8.156735162077519,8.62819879536841,2.7120048905401157,3.7934970913929855,3.741566033197209
1979-02-21,2.676737500790812,-0.06280485361152266,2.4757487841169366,3.390724160300491,3.639183461174103
1979-02-22,3.847739060410979,1.7943453600676664,2.78537435385226,3.1559544796873515,3.558685998448894
1979-02-23,4.864044975032845,3.4061559772248646,2.790546684529346,3.273153549669175,3.4816898923719704
1979-02-24,7.140353888295607,7.0162686623326636,4.10621035427907,3.3233019091927765,3.6176570135404993
1979-02-25,3.9471898533579903,1.9520693697880422,4.012325489271883,3.1375127216134397,3.398261239964546
1979-02-26,2.2426333792057007,-0.7512723928198475,3.1404229883357537,2.6802637182661786,3.111619084556119
1979-02-27,5.248741165751482,4.016264996231146,2.481575302744716,2.5967900966424162,3.2004738755026096
1979-02-28,5.485211484488366,4.391295156834382,3.1178753042369887,2.7968120441769626,3.269455160256456
1979-03-01,5.427920372569816,4.300434303689177,3.4758880104686325,3.1306311821604464,3.37244283664045
1979-03-02,3.914722313052582,1.900577466194519,3.260805366035726,3.0256760252825363,3.335132046729728
1979-03-03,11.5668202764977,14.036424127676153,4.263684718227653,4.184947536253362,3.8002119449409872
1979-03-04,2.4164416441644163,-0.47562113193511424,3.9168717894100595,3.964598639340971,3.7367234718347424
1979-03-05,4.615564908641188,3.0120789543522655,4.4544934104346465,3.7974581993852006,3.686802668171733
1979-03-06,3.4350197986537565,1.1397931446030145,4.043568860202057,3.2625720814733863,3.528034586433186
1979-03-07,5.369044120733804,4.207059497499041,4.017249480297008,3.5675623922669977,3.4791432762837444
1979-03-08,4.32077560949736,2.54455779231993,3.76640997867283,3.6211489945707314,3.388551737129041
1979-03-09,4.571575598408737,2.9423140968876043,3.91522949734327,3.588017431689498,3.430585490679337
1979-03-10,4.864080688059135,3.4062126163077595,2.3966278528620717,3.3301562855448625,3.3267290973688195
1979-03-11,4.4439906412440475,2.7399707024539453,2.8559981149176514,3.3864349521638557,3.2619738368886475
1979-03-12,4.027623969484436,2.079633876192098,2.7227916751804844,3.5886425428075657,3.134453130536872
1979-03-13,4.494155495940973,2.8195296661924734,2.96275403540755,3.5031614478048034,3.04997577222361
1979-03-14,4.742417931862412,3.213261537966896,2.8207828983315295,3.4190161893142688,3.1079141167456155
1979-03-15,3.29835082458771,0.9230429513134313,2.589137921044887,3.177773949858858,3.154202566009652
1979-03-16,3.913672105575015,1.8989118893852077,2.440080462830259,3.1776549800867646,3.1016655026846505
1979-03-17,3.7332843657094545,1.6128259086414274,2.1838823617350682,2.29025510729857,3.237601321775966
1979-03-18,3.324602517438642,0.9646768300961068,1.9302689513982345,2.393133533157943,3.178866086249457
1979-03-19,5.199738048461034,3.938548490220325,2.1958281819736953,2.4593099285770905,3.1283840639811453
1979-03-20,6.085776788849324,5.343761850118751,2.5564327796774498,2.7595934075424995,3.011082744507943
1979-03-21,3.1944390107706453,0.7582439844386566,2.2057159863162723,2.5132494423239007,3.040405917295449
1979-03-22,2.911933284279815,0.31020395749947793,2.1181675586285644,2.353652739836726,2.9874008672037284
1979-03-23,4.90215342993478,3.4665940907206902,2.3421221588193477,2.3911013108248036,2.989559371257151
1979-03-24,3.4697813473890307,1.1949232314343878,2.2824217763611996,2.233152069048134,2.7816541772964984
